SA3_ID,Region,Population,NumBusinesses,WeeklyIncome,UnemploymentRate
10603,Port Stephens,73036,4782,731,7.3
10801,Great Lakes,31895,2237,584,8.3
12003,Strathfield - Burwood - Ashfield,159133,15876,1026,6.4
12104,North Sydney - Mosman,100152,18883,1761,3.8
11902,Canterbury,141819,12851,704,8.6
10805,Taree - Gloucester,54761,3977,591,9.5
11002,Inverell - Tenterfield,38858,4596,577,7.4
90102,Cocos (Keeling) Islands,546,,828,3.9
51102,Gascoyne,9757,1020,862,5.8
70203,Daly - Tiwi - West Arnhem,18216,346,525,21.2
21401,Frankston,139511,9732,836,6.4
40203,Port Adelaide - East,69599,4086,736,9.4
10803,Lord Howe Island,412,54,993,1.3
20502,Gippsland - East,45537,4334,621,6.4
21101,Knox,160712,12951,905,5.6
10703,Kiama - Shellharbour,92470,4843,809,6.3
21701,Glenelg - Southern Grampians,35855,3987,688,5.2
10502,Broken Hill and Far West,20598,1220,644,8.7
11001,Armidale,38098,4111,740,6.8
31201,Bowen Basin - North,34349,2797,1015,6.1
51003,West Pilbara,35434,1230,1666,4.3
12402,,4,,,
20601,Brunswick - Coburg,91653,7084,1067,6.3
19799,Migratory - Offshore - Shipping (NSW),,,,3
30503,Brisbane Inner - North,90782,10468,1265,5.8
10104,South Coast,72073,5756,641,6.2
12403,Penrith,143452,9428,965,5.3
20804,Stonnington - East,43808,5665,1312,5.8
30902,Coolangatta,55141,4902,812,6.4
40403,West Torrens,62758,5628,808,7.5
11602,Blacktown - North,95745,5813,1151,5.4
12701,Bringelly - Green Valley,106378,6661,847,6.8
30804,Biloela,14607,2573,944,4
31701,Toowoomba,153201,12716,810,7
70102,Darwin Suburbs,57306,3586,1213,5
51002,East Pilbara,26001,949,1642,4.8
30502,Brisbane Inner - East,42844,4632,1379,4.8
30203,Nundah,40247,4049,1053,6.2
31304,Narangba - Burpengary,64693,3641,814,8.2
60101,Brighton,17169,602,680,7.8
21603,Shepparton,64888,6243,733,6.4
30303,Mt Gravatt,74384,7053,925,7.7
40104,Campbelltown (SA),51633,3458,784,6.9
11501,Baulkham Hills,148761,16556,1217,4.9
30906,Nerang,69402,6269,848,6.9
31606,Sunshine Coast Hinterland,50898,4805,751,6.9
40202,Playford,91465,3223,626,12.7
60102,Hobart - North East,52867,2781,837,5.2
80109,Woden Valley,35377,2744,1327,4.3
90103,Jervis Bay,403,,1025,8.8
10802,Kempsey - Nambucca,49005,3611,574,8.9
40105,Norwood - Payneham - St Peters,36443,6147,899,6.7
11802,Eastern Suburbs - South,149266,12057,1196,5.6
20902,Darebin - North,99751,7119,790,8.5
80106,South Canberra,27663,5044,1736,4
21601,Campaspe,37582,4198,694,4.9
31305,Redcliffe,61229,3883,740,8.4
80105,North Canberra,54105,4089,1392,6.3
30604,Port Douglas - Daintree,11882,1370,776,5
30801,Central Highlands (Qld),29775,3164,1072,5.6
50705,Rockingham,129308,5421,917,9.8
11004,Tamworth - Gunnedah,82379,7912,747,5.9
20203,Loddon - Elmore,11472,1458,606,5
21703,Colac - Corangamite,37504,4631,685,4
30701,Darling Downs (West) - Maranoa,44959,7909,787,4.6
50503,Wanneroo,194987,12456,960,8.5
21102,Manningham - East,27426,3222,1141,4.4
21103,Maroondah,114524,8919,936,5.2
20606,Stonnington - West,67798,11684,1437,4.9
30605,Tablelands (East) - Kuranda,41330,4085,651,8
60403,West Coast,17713,1700,690,7
12404,Richmond - Windsor,37469,3135,887,5
30908,Robina,51508,5117,855,6.8
60105,Hobart Inner,51872,6005,980,6.7
70205,Katherine,20847,899,877,8.7
30803,Rockhampton,118644,8066,789,8.8
21502,Mildura,54564,5030,681,7.3
31002,Ipswich Hinterland,64124,5044,700,7.6
70202,Barkly,6241,198,803,14
11601,Blacktown,139391,8926,860,7.3
40703,Murray and Mallee,71368,6728,630,6.8
12802,Sutherland - Menai - Heathcote,111321,8432,1147,3.5
50901,Albany,60319,6823,749,5
20202,Heathcote - Castlemaine - Kyneton,47826,4307,749,5
20302,Geelong,192393,13571,784,6.6
20402,Wangaratta - Benalla,46456,5050,695,4.8
11502,Dural - Wisemans Ferry,27076,4507,1133,3.3
11302,Tumut - Tumbarumba,14686,1574,724,5.4
12502,Carlingford,68864,5920,936,6.4
31903,Gympie - Cooloola,50216,4353,599,9.7
39799,Migratory - Offshore - Shipping (Qld),,,,6.3
80110,Molonglo,4759,101,1545,2.6
11102,Lake Macquarie - West,77075,4032,769,7.4
