ASGS_2016,Year,Population,NumBusinesses,WeeklyIncome,UnemploymentRate
20103,2016,25475,2080,559,7.7
21204,2016,197453,16294,684,9.6
31106,2016,80066,6274,753,10.7
50701,2016,106216,7610,1022,7.6
20607,2016,94234,14384,1369,5.2
21503,2016,37697,4850,643,4.8
31201,2016,34349,2797,1015,6.1
31303,2016,13668,1156,721,6.4
50703,2016,40305,1554,882,10.8
10401,2016,50961,3744,595,9
10501,2016,25059,3129,690,8.2
30303,2016,74384,7053,925,7.7
30909,2016,61128,8619,761,8.9
21304,2016,160293,8305,847,7.5
21601,2016,37582,4198,694,4.9
30202,2016,71772,5754,1020,5.8
20902,2016,99751,7119,790,8.5
30204,2016,60085,2957,903,6.8
21003,2016,79587,5151,799,7.7
30701,2016,44959,7909,787,4.6
80104,2016,72408,4093,1323,4.4
12101,2016,117824,16841,1475,4.8
21401,2016,139511,9732,836,6.4
31503,2016,17992,3155,759,4
20701,2016,177361,24797,1298,5.6
21502,2016,54564,5030,681,7.3
20605,2016,108569,20418,1376,5.1
21002,2016,30739,2855,1000,4.4
31602,2016,82926,7499,774,7
50201,2016,99405,5712,746,10.7
12703,2016,122238,9193,817,7.5
40602,2016,27369,1256,794,8.6
50705,2016,129308,5421,917,9.8
21501,2016,59330,6920,664,5
30203,2016,40247,4049,1053,6.2
31301,2016,33613,1699,623,9.5
11902,2016,141819,12851,704,8.6
30305,2016,62075,5890,904,8.4
31701,2016,153201,12716,810,7
40104,2016,51633,3458,784,6.9
21005,2016,169296,11585,714,9.4
31302,2016,69426,3638,705,10.7
31305,2016,61229,3883,740,8.4
50102,2016,104838,7183,857,8.1
60202,2016,22818,1928,626,6.6
12403,2016,143452,9428,965,5.3
40202,2016,91465,3223,626,12.7
21704,2016,50888,5015,758,4.7
30103,2016,71046,5908,1015,6
40403,2016,62758,5628,808,7.5
50901,2016,60319,6823,749,5
12003,2016,159133,15876,1026,6.4
31004,2016,87095,3214,882,9.4
21602,2016,29306,3095,654,5.1
31104,2016,46930,3254,960,6.1
11004,2016,82379,7912,747,5.9
12001,2016,89595,9943,1241,4.9
20203,2016,11472,1458,606,5
30502,2016,42844,4632,1379,4.8
31101,2016,14242,1303,662,7.8
51002,2016,26001,949,1642,4.8
20403,2016,70925,6616,768,5.2
30401,2016,33800,2917,1140,5.8
50402,2016,43138,3328,944,7.3
12401,2016,78496,5399,912,4.7
51001,2016,36392,2270,1025,8.7
10201,2016,173257,13273,822,6.2
30503,2016,90782,10468,1265,5.8
50103,2016,23021,2783,716,5.7
20904,2016,224581,13542,815,7.1
31608,2016,22667,2314,733,6.9
50704,2016,105106,10685,1109,6.8
20804,2016,43808,5665,1312,5.8
70101,2016,28020,3686,1591,3.9
11203,2016,93458,6953,679,7.1
20303,2016,73696,5771,848,4.7
40303,2016,65069,4951,986,6
12504,2016,146708,14058,985,7.6
60401,2016,48581,2882,635,8
12202,2016,63504,9034,1202,3.3
50502,2016,201306,19647,1011,7.3
12303,2016,42215,3468,967,4.1
60402,2016,45272,3088,640,7.5
10106,2016,36821,4372,805,4.2
40601,2016,58473,5202,705,7.7
51003,2016,35434,1230,1666,4.3
20505,2016,43354,3984,716,6.3
50902,2016,56584,6841,778,6.1
80103,2016,1569,391,801,7.5
10902,2016,12737,1482,701,5.4
30102,2016,85516,6719,865,6.1
20504,2016,74170,4201,705,9.7
30403,2016,53907,4265,1105,9.3
30604,2016,11882,1370,776,5
11402,2016,49059,5268,839,3.8
40204,2016,139529,6552,699,10
10102,2016,59472,4591,1164,4
50403,2016,133029,9833,948,8.2
20802,2016,157014,15790,1086,5.8
31802,2016,192113,11995,888,8.9
40504,2016,25729,2302,584,7.4
80111,2016,617,47,1417,2
60105,2016,51872,6005,980,6.7
21101,2016,160712,12951,905,5.6
21305,2016,233138,13372,886,8.3
30404,2016,52042,2979,1106,5.9
50702,2016,38691,5543,1093,7
12102,2016,83456,6860,1125,4.9
40401,2016,111505,8175,789,7.1
31605,2016,42626,5232,778,6.4
12404,2016,37469,3135,887,5
20101,2016,105564,8088,749,7
20302,2016,192393,13571,784,6.6
20601,2016,91653,7084,1067,6.3
60203,2016,37679,3363,606,8.1
10502,2016,20598,1220,644,8.7
11303,2016,95644,8623,787,5.4
21205,2016,184848,18916,873,8
30801,2016,29775,3164,1072,5.6
40105,2016,36443,6147,899,6.7
40106,2016,28933,2749,1020,6.3
50607,2016,44154,4925,1191,7.2
11502,2016,27076,4507,1133,3.3
20401,2016,54270,5801,710,5
20402,2016,46456,5050,695,4.8
10202,2016,162052,8649,729,7.4
30402,2016,47388,4447,1263,6
12104,2016,100152,18883,1761,3.8
12701,2016,106378,6661,847,6.8
30601,2016,54554,3832,951,6.2
30904,2016,19023,1942,851,5.5
31501,2016,33772,1727,645,12.4
31905,2016,45530,2494,566,12.5
10604,2016,30877,2645,822,6.6
11002,2016,38858,4596,577,7.4
21001,2016,61472,6469,915,5.1
21102,2016,27426,3222,1141,4.4
50602,2016,73886,7139,982,8.5
11302,2016,14686,1574,724,5.4
80108,2016,23172,1174,1278,4
10802,2016,49005,3611,574,8.9
20604,2016,148041,36243,970,10.9
10104,2016,72073,5756,641,6.2
30605,2016,41330,4085,651,8
10304,2016,58991,5247,824,5.8
80107,2016,85968,3872,1215,4.3
11802,2016,149266,12057,1196,5.6
31203,2016,21840,2494,842,5.8
60301,2016,11424,930,640,6.7
10301,2016,47783,3989,812,6
30910,2016,42883,7304,875,7.7
10704,2016,133292,9015,878,6.8
40701,2016,51719,4322,622,6.1
60302,2016,19708,1426,639,6.3
30201,2016,42300,3037,1087,5.6
31202,2016,117703,9798,902,8.6
50401,2016,83741,6792,958,7.8
51103,2016,40317,2309,1206,6.6
31601,2016,56284,5296,846,7.4
21201,2016,97790,7486,864,5.5
11601,2016,139391,8926,860,7.3
10503,2016,71138,7365,744,6.2
30504,2016,59386,7783,1340,5.9
31502,2016,30688,2244,1130,6.5
70104,2016,35667,1447,1290,5.1
21004,2016,40978,2435,923,6.1
21104,2016,63597,5299,931,5.9
31606,2016,50898,4805,751,6.9
10903,2016,42542,4760,686,4.6
40102,2016,72967,6689,932,4.8
80105,2016,54105,4089,1392,6.3
11501,2016,148761,16556,1217,4.9
11701,2016,49169,4996,947,5.6
50302,2016,107607,25582,1308,6.7
11301,2016,49464,5692,769,4.9
11401,2016,101617,6698,640,6.6
20201,2016,95587,6318,754,6.6
12002,2016,59540,7379,1646,4
30304,2016,40630,4039,975,7.6
11001,2016,38098,4111,740,6.8
12201,2016,44994,5495,1674,3.7
11202,2016,71294,6348,643,7.9
10801,2016,31895,2237,584,8.3
20502,2016,45537,4334,621,6.4
21302,2016,88342,6535,979,6.3
31603,2016,58359,7186,803,7.1
40107,2016,38916,5839,1087,5.8
80101,2016,97830,4468,1196,5
11003,2016,26452,3351,788,6
31401,2016,89224,6767,1120,4.8
21103,2016,114524,8919,936,5.2
21402,2016,160862,14392,807,4.9
80110,2016,4759,101,1545,2.6
11801,2016,136152,20122,1665,3.6
12601,2016,49288,4476,1209,5.9
10303,2016,47572,3996,682,7.2
10602,2016,76134,5117,854,7.1
12503,2016,157512,12537,701,9.2
20702,2016,95593,9812,900,6.6
30602,2016,104395,9399,793,8.6
60102,2016,52867,2781,837,5.2
60101,2016,17169,602,680,7.8
20603,2016,70367,6467,1119,6
40205,2016,95290,5045,849,6.4
70202,2016,6241,198,803,14
20102,2016,28746,2920,719,5.2
12103,2016,123474,14022,1513,4.7
40103,2016,45464,6543,1115,5.9
40301,2016,34689,3192,956,5.6
50501,2016,161288,13137,1113,6.9
11102,2016,77075,4032,769,7.4
30803,2016,118644,8066,789,8.8
30906,2016,69402,6269,848,6.9
80106,2016,27663,5044,1736,4
11903,2016,132733,11864,883,6.9
40302,2016,92098,4680,809,7
30702,2016,42999,5752,732,5.9
40702,2016,66683,7382,721,5.2
60201,2016,83040,6004,711,7.7
12602,2016,140873,13611,1099,6.1
31607,2016,43662,3755,743,7.6
40203,2016,69599,4086,736,9.4
31102,2016,42205,2113,715,10.2
20803,2016,122522,13044,991,5
31904,2016,57490,3348,599,11.7
11503,2016,25165,2671,1024,3.7
11602,2016,95745,5813,1151,5.4
40201,2016,34893,2114,776,7.6
10103,2016,19740,2474,783,3.4
20801,2016,102737,13017,1303,4.6
70102,2016,57306,3586,1213,5
21303,2016,87355,6574,975,8.3
31403,2016,38496,2886,833,8.1
50604,2016,122128,6993,853,9.7
20602,2016,55271,4574,1125,5.1
10601,2016,89621,5753,776,7.6
30603,2016,35601,3638,679,9.4
30902,2016,55141,4902,812,6.4
31402,2016,73908,3094,927,7.6
31002,2016,64124,5044,700,7.6
31901,2016,89276,6057,627,10.4
11603,2016,115220,4826,755,9.2
12802,2016,111321,8432,1147,3.5
50606,2016,27696,1954,1043,7.1
10803,2016,412,54,993,1.3
20301,2016,19282,1988,849,3.9
30301,2016,52345,4057,1147,5.2
51101,2016,16289,2020,858,4.7
40502,2016,23051,3036,667,5.1
20901,2016,127693,10318,1002,5.5
21701,2016,35855,3987,688,5.2
30101,2016,74184,5810,950,6
50603,2016,97172,9066,890,10.3
11904,2016,145493,12477,929,6.2
12203,2016,157846,16770,1209,3.5
20501,2016,49157,5098,747,5.5
30908,2016,51508,5117,855,6.8
51102,2016,9757,1020,862,5.8
